,median,p2.5,p97.5,epicurve,loglk,AIC
delaysd,5.430098734213754,4.150491757123513,7.213278829271888,2018-09-23,-203.35741333336847,410.71482666673694
delayCV,0.584800704835754,0.4864659000226834,0.7392276945688488,2018-09-23,-203.35741333336847,410.71482666673694
delaymean,9.296558254463317,7.6975865414427735,10.88030942629754,2018-09-25,-222.41656702041496,448.8331340408299
delaysd,5.52651764171765,4.31244031054366,7.324942771447278,2018-09-25,-222.41656702041496,448.8331340408299
delayCV,0.5957020377482022,0.49743912231189963,0.7474843835277807,2018-09-25,-222.41656702041496,448.8331340408299
delaymean,8.396213692033964,6.908927114324516,9.847584270798613,2018-09-30,-250.96685483634747,505.93370967269493
delaysd,4.643618526067063,3.5407989966804494,6.195449493062747,2018-09-30,-250.96685483634747,505.93370967269493
delayCV,0.5508768323441362,0.4540269156289368,0.702342902418884,2018-09-30,-250.96685483634747,505.93370967269493
delaymean,9.417639577562609,7.9555341094006495,10.918742671045262,2018-10-02,-264.2367675990785,532.473535198157
delaysd,5.670131229617,4.433352827206107,7.364936822010519,2018-10-02,-264.2367675990785,532.473535198157
delayCV,0.6019085353237803,0.5026124257195485,0.7524319227118971,2018-10-02,-264.2367675990785,532.473535198157
delaymean,9.604295771269015,8.347533124079977,10.8553011765933,2018-10-07,-306.0621042275967,616.1242084551934
delaysd,5.3535793405700804,4.36081245183763,6.692562631462507,2018-10-07,-306.0621042275967,616.1242084551934
delayCV,0.5572009445339126,0.47711038300031877,0.6697497820082101,2018-10-07,-306.0621042275967,616.1242084551934
delaymean,9.971607110432068,8.761808949608639,11.15917125689439,2018-10-09,-336.877563273094,677.755126546188
delaysd,5.517654487490416,4.587213269414337,6.753799798627718,2018-10-09,-336.877563273094,677.755126546188
delayCV,0.5535804471152848,0.48409897851315825,0.6556439674007049,2018-10-09,-336.877563273094,677.755126546188
delaymean,10.527274377733423,9.450211710688208,11.568744596624146,2018-10-13,-375.6519830527137,755.3039661054274
delaysd,5.728182211307772,4.909270053300348,6.742547967470285,2018-10-13,-375.6519830527137,755.3039661054274
delayCV,0.5439610568018522,0.4871041802989238,0.6194958027130514,2018-10-13,-375.6519830527137,755.3039661054274
delaymean,10.63340677141256,9.559383756458534,11.753901050076912,2018-10-15,-399.255052624152,802.510105248304
delaysd,6.015762776232386,5.125663536022726,7.125015005309941,2018-10-15,-399.255052624152,802.510105248304
delayCV,0.5654630078870497,0.5016384570755993,0.6493069994020586,2018-10-15,-399.255052624152,802.510105248304
delaymean,10.84810764336124,9.842717330086904,11.883696950672379,2018-10-16,-433.95116563486596,871.9023312697319
delaysd,5.969285793239459,5.158023168571546,6.960119065866119,2018-10-16,-433.95116563486596,871.9023312697319
delayCV,0.5506836748272945,0.49359024148116165,0.6243733210166588,2018-10-16,-433.95116563486596,871.9023312697319
delaymean,10.930184370466831,10.015750224735111,11.866700674391346,2018-10-20,-479.31084374942765,962.6216874988553
delaysd,5.725030660002789,5.036740852901206,6.5815775874525215,2018-10-20,-479.31084374942765,962.6216874988553
