,median,p2.5,p97.5,epicurve,loglk,AIC,switch_t,switch
delaysd__1,4.080671437814187,3.5856171890268955,4.694260720055555,2018-10-28,-582.87510268707,1173.75020537414,147,2018-09-24
delayCV__0,0.6656365858063078,0.5722169718690654,0.7975578455756283,2018-10-28,-582.87510268707,1173.75020537414,147,2018-09-24
delayCV__1,0.37049759819105144,0.3332477758407309,0.418869571570198,2018-10-28,-582.87510268707,1173.75020537414,147,2018-09-24
delaymean,11.066898888938749,10.35159907456139,11.794718136268104,2018-11-04,-652.0648944150847,1312.1297888301694,147,2018-09-24
k__0,1.548107998834201,1.2712189710928818,1.8224136179533843,2018-11-04,-652.0648944150847,1312.1297888301694,147,2018-09-24
k__1,2.6522061987051537,2.3309784518161627,2.97688996680672,2018-11-04,-652.0648944150847,1312.1297888301694,147,2018-09-24
delaysd__0,7.30325960097144,6.210574945564758,8.840604067464755,2018-11-04,-652.0648944150847,1312.1297888301694,147,2018-09-24
delaysd__1,4.496540686289581,3.96822286083851,5.125157613976251,2018-11-04,-652.0648944150847,1312.1297888301694,147,2018-09-24
delayCV__0,0.6595360829348138,0.5684693808346937,0.7922756153820659,2018-11-04,-652.0648944150847,1312.1297888301694,147,2018-09-24
delayCV__1,0.4058567963836711,0.3659746695623617,0.4555896815188768,2018-11-04,-652.0648944150847,1312.1297888301694,147,2018-09-24
delaymean,11.904032452938804,11.247510713946077,12.529097057138852,2018-11-11,-923.9302971818365,1855.860594363673,140,2018-09-17
k__0,1.6539941092059118,1.413771571957085,1.8920761297150548,2018-11-11,-923.9302971818365,1855.860594363673,140,2018-09-17
k__1,2.1832602459511374,1.9989023395419971,2.371180246517284,2018-11-11,-923.9302971818365,1855.860594363673,140,2018-09-17
delaysd__0,7.3895894417616645,6.483613650471437,8.611942783037456,2018-11-11,-923.9302971818365,1855.860594363673,140,2018-09-17
delaysd__1,5.747853401925833,5.252901735447879,6.316563803319868,2018-11-11,-923.9302971818365,1855.860594363673,140,2018-09-17
delayCV__0,0.6207987458742632,0.5495215545789705,0.717196122927651,2018-11-11,-923.9302971818365,1855.860594363673,140,2018-09-17
delayCV__1,0.48312806841265327,0.4486645628527964,0.52298154485291,2018-11-11,-923.9302971818365,1855.860594363673,140,2018-09-17
delaymean,11.421581842323285,10.800362423737756,12.031658533883142,2018-11-18,-1057.9434140048002,2123.8868280096003,189,2018-11-05
k__0,2.1041294022448422,1.9216091485667055,2.2940586399200207,2018-11-18,-1057.9434140048002,2123.8868280096003,189,2018-11-05
k__1,1.21998993412481,1.0393406426057767,1.4035338723345683,2018-11-18,-1057.9434140048002,2123.8868280096003,189,2018-11-05
delaysd__0,5.710861931998425,5.183713139215626,6.30320010458961,2018-11-18,-1057.9434140048002,2123.8868280096003,189,2018-11-05
delaysd__1,9.410158695930317,8.14228046780938,11.111727848648751,2018-11-18,-1057.9434140048002,2123.8868280096003,189,2018-11-05
delayCV__0,0.4994065358714913,0.4621536701808949,0.5418959755224114,2018-11-18,-1057.9434140048002,2123.8868280096003,189,2018-11-05
delayCV__1,0.8238110482187937,0.722057096338339,0.9623508832744833,2018-11-18,-1057.9434140048002,2123.8868280096003,189,2018-11-05
delaymean,11.620134972545378,11.049632189074034,12.204298502818625,2018-11-25,-1154.6735980739059,2317.3471961478117,189,2018-11-05
k__0,2.1088241419355023,1.932433874090155,2.2857797245080267,2018-11-25,-1154.6735980739059,2317.3471961478117,189,2018-11-05
k__1,1.26198234958441,1.1557139973174504,1.370734640690393,2018-11-25,-1154.6735980739059,2317.3471961478117,189,2018-11-05
